Player Name,X Location,Y Location,Shot Made Flag
Jamal Murray,-125,9,1
Jamal Murray,78,232,1
Jamal Murray,-3,21,1
Jamal Murray,-51,265,1
Jamal Murray,-148,205,0
Jamal Murray,60,191,1
Jamal Murray,-7,11,1
Jamal Murray,-5,4,0
Jamal Murray,71,157,1
Jamal Murray,85,239,0
Jamal Murray,-38,116,0
Jamal Murray,-2,21,1
Jamal Murray,20,96,0
Jamal Murray,0,25,0
Jamal Murray,-30,32,0
Jamal Murray,0,-6,0
Jamal Murray,119,108,1
Jamal Murray,-128,213,1
Jamal Murray,112,29,1
Jamal Murray,-189,164,1
Jamal Murray,22,176,0
Jamal Murray,-157,179,0
Jamal Murray,38,91,1
Jamal Murray,25,102,0
Jamal Murray,-11,28,1
Jamal Murray,-197,188,0
Jamal Murray,236,25,0
Jamal Murray,111,111,0
Jamal Murray,-3,318,0
Jamal Murray,216,136,0
Jamal Murray,-221,22,0
Jamal Murray,25,89,1
Jamal Murray,-119,225,0
Jamal Murray,-79,240,0
Jamal Murray,-91,232,1
Jamal Murray,-21,60,0
Jamal Murray,0,-6,1
Jamal Murray,-160,190,1
Jamal Murray,-18,208,1
Jamal Murray,-128,220,1
Jamal Murray,81,246,0
Jamal Murray,0,4,1
Jamal Murray,207,144,0
Jamal Murray,-78,243,0
Jamal Murray,-9,128,1
Jamal Murray,-92,195,1
Jamal Murray,30,190,1
Jamal Murray,93,157,0
Jamal Murray,52,190,1
Jamal Murray,-132,179,0
Jamal Murray,-116,247,1
Jamal Murray,81,223,1
Jamal Murray,-149,85,0
Jamal Murray,-38,251,0
Jamal Murray,41,137,1
Jamal Murray,140,100,0
Jamal Murray,-30,24,1
Jamal Murray,-3,10,0
Jamal Murray,62,143,0
Jamal Murray,-82,27,0
Jamal Murray,-68,237,0
Jamal Murray,-147,108,0
Jamal Murray,-22,92,0
Jamal Murray,-155,180,0
Jamal Murray,-40,201,0
Jamal Murray,9,6,1
Jamal Murray,0,30,0
Jamal Murray,0,11,1
Jamal Murray,3,4,1
Jamal Murray,-112,216,0
Jamal Murray,-38,178,0
Jamal Murray,-17,170,0
Jamal Murray,-13,8,1
Jamal Murray,22,13,0
Jamal Murray,49,116,1
Jamal Murray,57,181,0
Jamal Murray,-101,259,0
Jamal Murray,194,151,1
Jamal Murray,-79,109,0
Jamal Murray,0,50,0
Jamal Murray,-101,170,0
Jamal Murray,145,201,1
Jamal Murray,122,246,1
Jamal Murray,-84,255,0
Jamal Murray,-26,36,0
Jamal Murray,-201,147,0
Jamal Murray,-37,101,0
Jamal Murray,-215,127,1
